Respondent_Serial,language,country,yyyymmdd,AgeGender,weight,regionAustralia,regionUS,regionUK,regionIndia,regionNigeria,regionPhilippines,regionFinland,regionPortugal,regionBrazil,regionFrance,D1,D2,D3,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9
25,French,France,20210518,Men 21-25,0.9551268394081684, , , , , , , , , ,South,22,man,France: South,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,not at all,no,no,yes,no,no,no,yes,yes,no,moderately,very,very,not at all,extremely,not at all,moderately,prefer not to say,not at all
26,English,Philippines,20210518,Women 21-25,0.649679802136875, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,25,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,moderately,no,no,no,no,no,no,no,yes,yes,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately
27,English,Philippines,20210518,Women 21-25,0.649679802136875, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,24,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,no,no,no,no,yes,yes,yes,moderately,moderately,moderately,not at all,moderately,not at all,moderately,moderately,not at all
28,English,Australia,20210518,Women 16-20,0.9157517225616252,South Australia, , , , , , , , , ,20,woman,Australia: South Australia,a little,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,a little,no,no,no,no,no,no,no,no,prefer not to say,moderately,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all
29,English,India,20210518,Women 16-20,1.183360054767504, , , ,West India, , , , , , ,18,woman,India: West India,extremely,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,a little,no,no,no,yes,yes,no,yes,yes,yes,very,very,very,extremely,very,extremely,very,extremely,extremely
30,English,India,20210518,Men 21-25,0.8012481119389621, , , ,South India, , , , , , ,24,man,India: South India,very,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,not at all,yes,no,yes,no,no,no,yes,yes,no,extremely,extremely,very,a little,very,not at all,extremely,not at all,a little
31,English,Australia,20210518,Women 21-25,0.8127712524349114,South Australia, , , , , , , , , ,22,woman,Australia: South Australia,not worried,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,prefer not to say,yes,yes,no,yes,no,yes,no,no,very,prefer not to say,no,yes,prefer not to say,prefer not to say,no,prefer not to say,no,yes,moderately,extremely,not at all,very,prefer not to say,extremely,extremely,very,very
32,English,Philippines,20210518,Men 21-25,0.7078000062120289, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,25,man,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,moderately,no,yes,no,yes,no,no,yes,yes,yes,moderately,a little,moderately,moderately,very,moderately,very,a little,moderately
34,English,Philippines,20210518,Men 16-20,1.9462256634233035, , , , , ,Mindanao Super Region, , , , ,18,man,Philippines: Mindanao Super Region,moderately,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,very,yes,yes,yes,yes,yes,yes,no,no,no,not at all,not at all,not at all,a little,not at all,very,not at all,not at all,moderately
35,English,Philippines,20210518,Women 16-20,1.7369488421455404, , , , , ,Central Philippines Region, , , , ,18,woman,Philippines: Central Philippines Region,very,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,a little,no,yes,no,yes,yes,yes,yes,no,no,a little,a little,a little,very,a little,very,a little,moderately,very
